gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:467] initializing epoch 0 (base id=0, hot restart version=11.120)
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:469] statically linked extensions:
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.regex_engines: envoy.regex_engines.google_re2
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tracers: envoy.tracers.datadog, envoy.tracers.opentelemetry, envoy.tracers.skywalking, envoy.tracers.xray, envoy.tracers.zipkin, envoy.zipkin
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.router.cluster_specifier_plugin: envoy.router.cluster_specifier_plugin.cluster_fallback, envoy.router.cluster_specifier_plugin.golang
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.grpc_credentials: envoy.grpc_credentials.default, envoy.grpc_credentials.file_based_metadata
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tls.key_providers: cryptomb, qat
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.proof_source: envoy.quic.proof_source.filter_chain
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstream_options: envoy.extensions.upstreams.http.v3.HttpProtocolOptions, envoy.extensions.upstreams.tcp.v3.TcpProtocolOptions, envoy.upstreams.http.http_protocol_options, envoy.upstreams.tcp.tcp_protocol_options
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.upstream_network: envoy.filters.network.upstream.metadata_exchange
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
