REF                                                                     TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                    LABELS                                                          
docker.io/kindest/kindnetd:v20250214-acbabc1a                           application/vnd.docker.distribution.manifest.list.v2+json sha256:e3c42406b0806c1f7e8a66838377936cbd2cdfd94d9b26a3eefedada8713d495 34.0 MiB  linux/amd64,linux/arm64                                                      io.cri-containerd.image=managed                                 
docker.io/kindest/local-path-helper:v20241212-8ac705d0                  application/vnd.oci.image.index.v1+json                   sha256:8f2bbf11bdb7e993ea45e043e29192104d09829a715b4ee93b1529961c049a9d 2.8 MiB   linux/amd64,linux/arm64                                                      io.cri-containerd.image=managed                                 
docker.io/kindest/local-path-provisioner:v20250214-acbabc1a             application/vnd.docker.distribution.manifest.list.v2+json sha256:8f45ae720c2a2785a5caf2af5c588dabc22ac457f81505b709328e930bbfe78c 19.3 MiB  linux/amd64,linux/arm64                                                      io.cri-containerd.image=managed                                 
docker.io/library/python:3.12-alpine                                    application/vnd.docker.distribution.manifest.v2+json      sha256:fc2a1da7656ea02f2b3e9c3177412c557fabba9a824dd02ebdef39044bd44e1b 58.6 MiB  linux/arm64                                                                  io.cri-containerd.image=managed                                 
higress-registry.cn-hangzhou.cr.aliyuncs.com/higress/echo-server:1.3.0  application/vnd.docker.distribution.manifest.v2+json      sha256:5dfc0301695c80107c01734150002c389e9a4d7507e2d2fe03169b8d84cbfaa2 8.5 MiB   linux/amd64                                                                  io.cri-containerd.image=managed                                 
higress-registry.cn-hangzhou.cr.aliyuncs.com/higress/gateway:v2.2.3     application/vnd.docker.distribution.manifest.v2+json      sha256:685153e7527f118f5a9e891a3a864718d39acb9253ca8af2bf98503dcaea5eaa 1.2 GiB   linux/arm64                                                                  io.cri-containerd.image=managed                                 
higress-registry.cn-hangzhou.cr.aliyuncs.com/higress/higress:v2.2.3     application/vnd.docker.distribution.manifest.v2+json      sha256:3285559b8480fe141dc77d1de8bb268e66a4a9af479d72a2f3fa8ca99872b54d 195.1 MiB linux/arm64                                                                  io.cri-containerd.image=managed                                 
higress-registry.cn-hangzhou.cr.aliyuncs.com/higress/pilot:v2.2.3       application/vnd.docker.distribution.manifest.v2+json      sha256:6b4909617256b1c7f84f1c413e14b5c2f23836bae4fb7fa4e602cd948660be76 189.8 MiB linux/arm64                                                                  io.cri-containerd.image=managed                                 
registry.k8s.io/coredns/coredns:v1.11.3                                 application/vnd.docker.distribution.manifest.list.v2+json sha256:9caabbf6238b189a65d0d6e6ac138de60d6a1c419e5a341fbbb7c78382559c6e 16.2 MiB  linux/amd64,linux/arm/v7,linux/arm64,linux/ppc64le,linux/riscv64,linux/s390x io.cri-containerd.image=managed                                 
registry.k8s.io/etcd:3.5.16-0                                           application/vnd.docker.distribution.manifest.list.v2+json sha256:c6a9d11cc5c04b114ccdef39a9265eeef818e3d02f5359be035ae784097fdec5 64.8 MiB  linux/amd64,linux/arm/v7,linux/arm64,linux/ppc64le,linux/s390x,windows/amd64 io.cri-containerd.image=managed                                 
