gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:467] initializing epoch 0 (base id=0, hot restart version=11.120)
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:469] statically linked extensions:
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.srds_factory: envoy.srds_factory.default
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tracers: envoy.tracers.datadog, envoy.tracers.opentelemetry, envoy.tracers.skywalking, envoy.tracers.xray, envoy.tracers.zipkin, envoy.zipkin
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rate_limit_descriptors: envoy.rate_limit_descriptors.expr
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.wasm.runtime: envoy.wasm.runtime.null, envoy.wasm.runtime.v8
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tls.cert_validator: envoy.tls.cert_validator.default, envoy.tls.cert_validator.spiffe
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.protocols: dubbo
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.http.upstream: envoy.buffer, envoy.ext_proc, envoy.filters.http.admission_control, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.buffer, envoy.filters.http.composite, envoy.filters.http.ext_proc, envoy.filters.http.header_mutation, envoy.filters.http.lua, envoy.filters.http.match_delegate, envoy.filters.http.upstream_codec, envoy.filters.http.wasm
gateway-1  | [2026-09-11 09:32:33.145][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.listener_manager_impl: envoy.listener_manager_impl.default, envoy.listener_manager_impl.validation
